id,variant,approach,evidence_level,split,attack,epsilon,fall_recall,far,tp,fn,fp,tn,auroc,threshold,f20_met,source_path,source_type,notes,plot_label,plotted
D0,PGD reference,Undefended LeNet baseline,test fixed/argmax,test,pgd,0.03,0,0.105495,0,45,48,407,,,false,results/converged_attacks/converged_seed42_pgd_epsilon_sweep_test.csv,reported_metrics_table,Recovered from defense_attempt_results_long.csv. Gray reference baseline; not counted as a defense.,D0 ref,true
D1,PGD fixed,FGSM adversarial-training baseline,test fixed/argmax,test,pgd,0.03,0.088889,0.118681,4,41,54,401,,,false,results/converged_attacks/defended_fgsm_at_seed42_pgd_epsilon_sweep_test.csv,reported_metrics_table,Recovered from defense_attempt_results_long.csv.,D1,true
D2,PGD fixed,Fall-weighted training,test fixed/argmax,test,pgd,0.03,0.488889,0.417582,22,23,190,265,,,false,results/safety_guided_defense/seed42/test_eval/variantC_bySafetyScore_pgd_epsilon_sweep_test.csv,reported_metrics_table,Recovered from defense_attempt_results_long.csv.,D2,true
D3,fixed,Multi-budget training,test fixed/argmax,test,pgd,0.03,0.444444,0.345055,20,25,157,298,,,false,results/safety_guided_defense/decision_analysis/seed42_test_probabilities/seed42_variantD_bySafetyScore_pgd_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,Recovered from defense_attempt_results_long.csv.,D3-fixed,true
D3,post-hoc FAR<=0.20,Multi-budget training,test post-hoc FAR sweep,test,pgd,0.03,0.244444,0.193407,11,34,88,367,0.745495,0.340538,false,results/safety_guided_defense/decision_analysis/seed42_test_probabilities/seed42_variantD_byValMacroF1_pgd_probabilities_test_epsilon_0_03.csv,per_window_score_csv,Recovered from defense_attempt_results_long.csv.,D3-sweep,true
D4,fixed,Motion/margin loss,test fixed/argmax,test,pgd,0.03,0.666667,0.252747,30,15,115,340,,,false,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF1p0_v2safety_pgd_sweep_predictions_test.csv,per_window_predictions_csv,Recovered from defense_attempt_results_long.csv.,D4-fixed,true
D4,post-hoc FAR<=0.20,Motion/margin loss,test post-hoc FAR sweep,test,pgd,0.03,0.622222,0.2,28,17,91,364,0.809768,0.098716,false,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF0p5_v2lowFA_pgd_probabilities_test_epsilon_0_03.csv,per_window_score_csv,Recovered from defense_attempt_results_long.csv.,D4-sweep,true
D5,fixed,G1 hard-negative/source-aware margin,test fixed/argmax,test,pgd,0.03,0.688889,0.228571,31,14,104,351,,,false,results/safety_guided_defense/variantG_targeted_hardneg/seed42/test_eval/G_G1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,Recovered from defense_attempt_results_long.csv.,D5-fixed,true
D5,post-hoc FAR<=0.20 seed44,G1 hard-negative/source-aware margin,test post-hoc FAR sweep,test,pgd,0.03,0.688889,0.186813,31,14,85,370,0.8379,0.234601,false,results/safety_guided_defense/variantG_targeted_hardneg/seed44/test_eval/G_G1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,per_window_score_csv,Recovered from defense_attempt_results_long.csv.,D5-sweep,true
D6a,fixed,Static dual-tail rescue/budget objective,test fixed/argmax,test,pgd,0.03,0.488889,0.206593,22,23,94,361,,,false,results/safety_guided_defense/variantH_dual_tail_budget/H1/seed42/test_eval/H_H1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,Recovered from defense_attempt_results_long.csv.,D6a-fixed,true
