id,plot_label,variant,approach,evidence_level,split,tp,fp,fn,tn,fall_recall,far,f20_met,source_type,source_path,notes
D0,D0 ref,PGD reference,Undefended LeNet baseline,test fixed/argmax,test,0,48,45,407,0,0.105495,false,reported_metrics_table,results/converged_attacks/converged_seed42_pgd_epsilon_sweep_test.csv,Recovered from defense_attempt_results_long.csv. Gray reference baseline; not counted as a defense.
D1,D1,PGD fixed,FGSM adversarial-training baseline,test fixed/argmax,test,4,54,41,401,0.088889,0.118681,false,reported_metrics_table,results/converged_attacks/defended_fgsm_at_seed42_pgd_epsilon_sweep_test.csv,Recovered from defense_attempt_results_long.csv.
D2,D2,PGD fixed,Fall-weighted training,test fixed/argmax,test,22,190,23,265,0.488889,0.417582,false,reported_metrics_table,results/safety_guided_defense/seed42/test_eval/variantC_bySafetyScore_pgd_epsilon_sweep_test.csv,Recovered from defense_attempt_results_long.csv.
D3,D3-fixed,fixed,Multi-budget training,test fixed/argmax,test,20,157,25,298,0.444444,0.345055,false,per_window_predictions_csv,results/safety_guided_defense/decision_analysis/seed42_test_probabilities/seed42_variantD_bySafetyScore_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D3,D3-sweep,post-hoc FAR<=0.20,Multi-budget training,test post-hoc FAR sweep,test,11,88,34,367,0.244444,0.193407,false,per_window_score_csv,results/safety_guided_defense/decision_analysis/seed42_test_probabilities/seed42_variantD_byValMacroF1_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D4,D4-fixed,fixed,Motion/margin loss,test fixed/argmax,test,30,115,15,340,0.666667,0.252747,false,per_window_predictions_csv,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF1p0_v2safety_pgd_sweep_predictions_test.csv,Recovered from defense_attempt_results_long.csv.
D4,D4-sweep,post-hoc FAR<=0.20,Motion/margin loss,test post-hoc FAR sweep,test,28,91,17,364,0.622222,0.2,false,per_window_score_csv,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF0p5_v2lowFA_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D5,D5-fixed,fixed,G1 hard-negative/source-aware margin,test fixed/argmax,test,31,104,14,351,0.688889,0.228571,false,per_window_predictions_csv,results/safety_guided_defense/variantG_targeted_hardneg/seed42/test_eval/G_G1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D5,D5-sweep,post-hoc FAR<=0.20 seed44,G1 hard-negative/source-aware margin,test post-hoc FAR sweep,test,31,85,14,370,0.688889,0.186813,false,per_window_score_csv,results/safety_guided_defense/variantG_targeted_hardneg/seed44/test_eval/G_G1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D6a,D6a-fixed,fixed,Static dual-tail rescue/budget objective,test fixed/argmax,test,22,94,23,361,0.488889,0.206593,false,per_window_predictions_csv,results/safety_guided_defense/variantH_dual_tail_budget/H1/seed42/test_eval/H_H1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D6a,D6a-sweep,post-hoc FAR<=0.20,Static dual-tail rescue/budget objective,test post-hoc FAR sweep,test,22,90,23,365,0.488889,0.197802,false,per_window_score_csv,results/safety_guided_defense/variantH_dual_tail_budget/H1/seed42/test_eval/H_H1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D6b,D6b-fixed,fixed,Rebalanced dual-tail with fall-rescue floor,test fixed/argmax,test,25,68,20,387,0.555556,0.149451,false,per_window_predictions_csv,results/safety_guided_defense/variantH_dual_tail_budget/optionA_rebalanced/A1/seed42/test_eval/A1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D6b,D6b-sweep,post-hoc FAR<=0.20,Rebalanced dual-tail with fall-rescue floor,test post-hoc FAR sweep,test,31,89,14,366,0.688889,0.195604,false,per_window_score_csv,results/safety_guided_defense/variantH_dual_tail_budget/optionA_rebalanced/A1/seed42/test_eval/A1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D7,D7-fixed,fixed,Dual-specialist gate,test fixed/argmax,test,31,104,14,351,0.688889,0.228571,false,per_window_predictions_csv,results/safety_guided_defense/dual_specialist_safety_gate/A1/seed42/probabilities/R_G1maxrec_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
