id,plot_label,variant,approach,evidence_level,split,tp,fn,fp,tn,fall_recall,far,tp_gap,fp_margin,f20_met,source_type,source_path,notes
D0,D0 ref,PGD reference,Undefended LeNet baseline,test fixed/argmax,test,0,45,48,407,0,0.105495,-36,43,false,reported_metrics_table,results/converged_attacks/converged_seed42_pgd_epsilon_sweep_test.csv,Recovered from defense_attempt_results_long.csv. Gray reference baseline; not counted as a defense.
D1,D1,PGD fixed,FGSM adversarial-training baseline,test fixed/argmax,test,4,41,54,401,0.088889,0.118681,-32,37,false,reported_metrics_table,results/converged_attacks/defended_fgsm_at_seed42_pgd_epsilon_sweep_test.csv,Recovered from defense_attempt_results_long.csv.
D2,D2,PGD fixed,Fall-weighted training,test fixed/argmax,test,22,23,190,265,0.488889,0.417582,-14,-99,false,reported_metrics_table,results/safety_guided_defense/seed42/test_eval/variantC_bySafetyScore_pgd_epsilon_sweep_test.csv,Recovered from defense_attempt_results_long.csv.
D3,D3-fixed,fixed,Multi-budget training,test fixed/argmax,test,20,25,157,298,0.444444,0.345055,-16,-66,false,per_window_predictions_csv,results/safety_guided_defense/decision_analysis/seed42_test_probabilities/seed42_variantD_bySafetyScore_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D3,D3-sweep,post-hoc FAR<=0.20,Multi-budget training,test post-hoc FAR sweep,test,11,34,88,367,0.244444,0.193407,-25,3,false,per_window_score_csv,results/safety_guided_defense/decision_analysis/seed42_test_probabilities/seed42_variantD_byValMacroF1_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D4,D4-fixed,fixed,Motion/margin loss,test fixed/argmax,test,30,15,115,340,0.666667,0.252747,-6,-24,false,per_window_predictions_csv,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF1p0_v2safety_pgd_sweep_predictions_test.csv,Recovered from defense_attempt_results_long.csv.
D4,D4-sweep,post-hoc FAR<=0.20,Motion/margin loss,test post-hoc FAR sweep,test,28,17,91,364,0.622222,0.2,-8,0,false,per_window_score_csv,results/safety_guided_defense/variantF_motion_margin/seed42/test_eval/F_lamM1p0_lamF0p5_v2lowFA_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D5,D5-fixed,fixed,G1 hard-negative/source-aware margin,test fixed/argmax,test,31,14,104,351,0.688889,0.228571,-5,-13,false,per_window_predictions_csv,results/safety_guided_defense/variantG_targeted_hardneg/seed42/test_eval/G_G1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D5,D5-sweep,post-hoc FAR<=0.20 seed44,G1 hard-negative/source-aware margin,test post-hoc FAR sweep,test,31,14,85,370,0.688889,0.186813,-5,6,false,per_window_score_csv,results/safety_guided_defense/variantG_targeted_hardneg/seed44/test_eval/G_G1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D6a,D6a-fixed,fixed,Static dual-tail rescue/budget objective,test fixed/argmax,test,22,23,94,361,0.488889,0.206593,-14,-3,false,per_window_predictions_csv,results/safety_guided_defense/variantH_dual_tail_budget/H1/seed42/test_eval/H_H1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D6a,D6a-sweep,post-hoc FAR<=0.20,Static dual-tail rescue/budget objective,test post-hoc FAR sweep,test,22,23,90,365,0.488889,0.197802,-14,1,false,per_window_score_csv,results/safety_guided_defense/variantH_dual_tail_budget/H1/seed42/test_eval/H_H1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D6b,D6b-fixed,fixed,Rebalanced dual-tail with fall-rescue floor,test fixed/argmax,test,25,20,68,387,0.555556,0.149451,-11,23,false,per_window_predictions_csv,results/safety_guided_defense/variantH_dual_tail_budget/optionA_rebalanced/A1/seed42/test_eval/A1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D6b,D6b-sweep,post-hoc FAR<=0.20,Rebalanced dual-tail with fall-rescue floor,test post-hoc FAR sweep,test,31,14,89,366,0.688889,0.195604,-5,2,false,per_window_score_csv,results/safety_guided_defense/variantH_dual_tail_budget/optionA_rebalanced/A1/seed42/test_eval/A1_v2safety_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D7,D7-fixed,fixed,Dual-specialist gate,test fixed/argmax,test,31,14,104,351,0.688889,0.228571,-5,-13,false,per_window_predictions_csv,results/safety_guided_defense/dual_specialist_safety_gate/A1/seed42/probabilities/R_G1maxrec_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D7,D7-sweep,post-hoc FAR<=0.20,Dual-specialist gate,test post-hoc FAR sweep,test,29,16,88,367,0.644444,0.193407,-7,3,false,per_window_score_csv,results/safety_guided_defense/dual_specialist_safety_gate/A1/seed42/probabilities/B_G1lowFA_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D8a,D8a-recall,AFAC-recall fixed,Adaptive False-Alarm Controller (AFAC),test fixed/argmax,test,30,15,85,370,0.666667,0.186813,-6,6,false,per_window_predictions_csv,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxrec_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D8a,D8a-score,AFAC-score fixed,Adaptive False-Alarm Controller (AFAC),test fixed/argmax,test,19,26,59,396,0.422222,0.12967,-17,32,false,per_window_predictions_csv,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxscore_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D8a,D8a-lowFA,AFAC-lowFA fixed,Adaptive False-Alarm Controller (AFAC),test fixed/argmax,test,6,39,36,419,0.133333,0.079121,-30,55,false,per_window_predictions_csv,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_minFA_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D8b,D8b AFAC-score,AFAC-score post-hoc FAR<=0.20,Adaptive False-Alarm Controller (AFAC),test post-hoc FAR sweep,test,36,9,91,364,0.8,0.2,0,0,true,per_window_score_csv,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxscore_pgd_probabilities_test_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv. Only held-out test post-hoc operating point in IA.3 that reaches F20.
D9,D9 missing,missing artifact,TRADES-style consistency,missing artifact,,,,,,,,,,false,inventory_gap,,Inventory row marks this approach as not found. No usable local TRADES-named standalone result artifact found.
D10,D10 val,validation-only FAR<=0.20,GAIRAT-style boundary reweighting,validation-only FAR sweep,val,39,5,86,366,0.886364,0.190265,3,5,true,per_window_score_csv,results/safety_guided_defense/boundary_aware_selective_at/gairat/seed42/GR1/val_eval/GR1_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D11a,D11a val,validation-only FAR<=0.20,SAT-style selective filtering (Stage-1/BASAT pilot),validation-only FAR sweep,val,40,4,86,366,0.909091,0.190265,4,5,true,per_window_score_csv,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta6p0/val_eval/ST1b6_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D11b,D11b val,validation-only FAR<=0.20,SAT-style selective filtering,validation-only FAR sweep,val,39,5,85,367,0.886364,0.188053,3,6,true,per_window_score_csv,results/safety_guided_defense/boundary_aware_selective_at/sat/seed42/SA1/val_eval/SA1_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
D12,D12 val,validation-only FAR<=0.20,BiLSTM representation pivot,validation-only FAR sweep,val,11,33,83,369,0.25,0.183628,-25,8,false,per_window_score_csv,results/safety_guided_defense/variantG_bilstm_representation_test/seed42/g1_finetune_cleaninit/val_eval/BLF_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,Recovered from defense_attempt_results_long.csv.
