column_id,column_title,column_summary,section_title,section_role,artifact_or_theme
1,1. Research Workflow,"This column explains what was run in the demo: dataset/workflow setup, software FGSM/PGD stress testing, and defended-vs-undefended comparison.",A. Dataset / Workflow,Research workflow foundation,UT-HAR / SenseFi workflow
1,1. Research Workflow,"This column explains what was run in the demo: dataset/workflow setup, software FGSM/PGD stress testing, and defended-vs-undefended comparison.",A. Dataset / Workflow,Research workflow foundation,Workflow setup + metadata audit
1,1. Research Workflow,"This column explains what was run in the demo: dataset/workflow setup, software FGSM/PGD stress testing, and defended-vs-undefended comparison.",A. Dataset / Workflow,Research workflow foundation,Output index / artifact inventory
1,1. Research Workflow,"This column explains what was run in the demo: dataset/workflow setup, software FGSM/PGD stress testing, and defended-vs-undefended comparison.",A. Dataset / Workflow,Research workflow foundation,Baseline fall-safety summary
1,1. Research Workflow,"This column explains what was run in the demo: dataset/workflow setup, software FGSM/PGD stress testing, and defended-vs-undefended comparison.",B. Software Attack Stress Test,Attack degradation test,FGSM attack results
1,1. Research Workflow,"This column explains what was run in the demo: dataset/workflow setup, software FGSM/PGD stress testing, and defended-vs-undefended comparison.",B. Software Attack Stress Test,Attack degradation test,PGD attack results
1,1. Research Workflow,"This column explains what was run in the demo: dataset/workflow setup, software FGSM/PGD stress testing, and defended-vs-undefended comparison.",B. Software Attack Stress Test,Attack degradation test,Epsilon-sweep summaries
1,1. Research Workflow,"This column explains what was run in the demo: dataset/workflow setup, software FGSM/PGD stress testing, and defended-vs-undefended comparison.",B. Software Attack Stress Test,Attack degradation test,Clean-vs-attacked comparisons
1,1. Research Workflow,"This column explains what was run in the demo: dataset/workflow setup, software FGSM/PGD stress testing, and defended-vs-undefended comparison.",C. Defense Comparison,Defended vs undefended comparison,Defended vs undefended behavior
1,1. Research Workflow,"This column explains what was run in the demo: dataset/workflow setup, software FGSM/PGD stress testing, and defended-vs-undefended comparison.",C. Defense Comparison,Defended vs undefended comparison,Matched attack-defense effect
1,1. Research Workflow,"This column explains what was run in the demo: dataset/workflow setup, software FGSM/PGD stress testing, and defended-vs-undefended comparison.",C. Defense Comparison,Defended vs undefended comparison,Paired safety-state transitions
1,1. Research Workflow,"This column explains what was run in the demo: dataset/workflow setup, software FGSM/PGD stress testing, and defended-vs-undefended comparison.",C. Defense Comparison,Defended vs undefended comparison,Defense-effect heatmap
2,2. Safety-Proxy Findings,"This column summarizes the evidence products produced by the demo: safety-proxy metrics, alert-trustworthiness analysis, and failure-pattern analysis.",A. Safety-Proxy Metrics,Window-level safety evidence,TP / FN / FP / TN safety metrics
2,2. Safety-Proxy Findings,"This column summarizes the evidence products produced by the demo: safety-proxy metrics, alert-trustworthiness analysis, and failure-pattern analysis.",A. Safety-Proxy Metrics,Window-level safety evidence,Recall and missed-fall-rate proxy
2,2. Safety-Proxy Findings,"This column summarizes the evidence products produced by the demo: safety-proxy metrics, alert-trustworthiness analysis, and failure-pattern analysis.",A. Safety-Proxy Metrics,Window-level safety evidence,False-alert proxy
2,2. Safety-Proxy Findings,"This column summarizes the evidence products produced by the demo: safety-proxy metrics, alert-trustworthiness analysis, and failure-pattern analysis.",A. Safety-Proxy Metrics,Window-level safety evidence,Safety tradeoff summary
2,2. Safety-Proxy Findings,"This column summarizes the evidence products produced by the demo: safety-proxy metrics, alert-trustworthiness analysis, and failure-pattern analysis.",B. Alert Trustworthiness,Alert composition and source analysis,Alert trustworthiness / PPV proxy
2,2. Safety-Proxy Findings,"This column summarizes the evidence products produced by the demo: safety-proxy metrics, alert-trustworthiness analysis, and failure-pattern analysis.",B. Alert Trustworthiness,Alert composition and source analysis,Fall-alert composition
2,2. Safety-Proxy Findings,"This column summarizes the evidence products produced by the demo: safety-proxy metrics, alert-trustworthiness analysis, and failure-pattern analysis.",B. Alert Trustworthiness,Alert composition and source analysis,False-alert source classes
2,2. Safety-Proxy Findings,"This column summarizes the evidence products produced by the demo: safety-proxy metrics, alert-trustworthiness analysis, and failure-pattern analysis.",B. Alert Trustworthiness,Alert composition and source analysis,Class-normalized false-alert sources
2,2. Safety-Proxy Findings,"This column summarizes the evidence products produced by the demo: safety-proxy metrics, alert-trustworthiness analysis, and failure-pattern analysis.",C. Failure-Pattern Analysis,Failure-mode evidence,Missed-fall destination classes
2,2. Safety-Proxy Findings,"This column summarizes the evidence products produced by the demo: safety-proxy metrics, alert-trustworthiness analysis, and failure-pattern analysis.",C. Failure-Pattern Analysis,Failure-mode evidence,Fall-window recovery / persistence
2,2. Safety-Proxy Findings,"This column summarizes the evidence products produced by the demo: safety-proxy metrics, alert-trustworthiness analysis, and failure-pattern analysis.",C. Failure-Pattern Analysis,Failure-mode evidence,Attack-defense failure patterns
2,2. Safety-Proxy Findings,"This column summarizes the evidence products produced by the demo: safety-proxy metrics, alert-trustworthiness analysis, and failure-pattern analysis.",C. Failure-Pattern Analysis,Failure-mode evidence,Claim-boundary evidence summary
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,A. What We Can Support Now,Current defensible scope,Window-level safety indicators
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,A. What We Can Support Now,Current defensible scope,Software attack stress testing
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,A. What We Can Support Now,Current defensible scope,Descriptive defense comparison
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,A. What We Can Support Now,Current defensible scope,Reproducible research workflow
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,B. Richer Datasets Could Enable,Next validation targets,Event-level fall validation
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,B. Richer Datasets Could Enable,Next validation targets,Time-to-alarm and alarm burden
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,B. Richer Datasets Could Enable,Next validation targets,Long-lie / delayed-rescue analysis
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,B. Richer Datasets Could Enable,Next validation targets,Subject / room / site generalization
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,B. Richer Datasets Could Enable,Next validation targets,Clinical and care-setting relevance
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,C. Partner Data That Would Help,Useful richer-data examples,Event IDs and timestamps
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,C. Partner Data That Would Help,Useful richer-data examples,Monitoring duration and alarm counts
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,C. Partner Data That Would Help,Useful richer-data examples,Subject / room metadata
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,C. Partner Data That Would Help,Useful richer-data examples,Realistic home/care-setting data
3,3. Collaboration Pathway,This column makes the collaboration opportunity explicit by separating what the current demo can support from what richer real-world or partner-owned datasets could enable next.,C. Partner Data That Would Help,Useful richer-data examples,Cross-dataset replication opportunities
