rank,metric_group,metric_name,currently_computable,support_level,available_data,missing_data,why_it_matters,thesis_use,recommended_reporting_status,claim_boundary
1,Current window-level metric,Seven-class accuracy,yes,Directly computable,true activity labels; predicted activity labels,none for window-level classification,Measures overall seven-class activity recognition performance before binary fall translation.,"Use as a standard ML baseline metric, but do not treat it as sufficient for clinical-safety interpretation.",Report now,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
2,Current window-level metric,Binary fall-vs-non-fall accuracy,yes,Directly computable,true labels; predicted labels; fall-vs-non-fall label mapping,none for window-level binary classification,Shows how well the model separates fall windows from non-fall windows.,Use as a bridge from activity recognition to safety-proxy evaluation.,Report now,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
3,Current window-level metric,"TP, FN, FP, TN",yes,Directly computable,binary true labels; binary predicted labels,none for window-level confusion matrix,"Identifies detected falls, missed falls, false fall alarms, and correctly rejected non-falls.",Use as the foundation for all current safety-proxy metrics.,Report now,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
4,Current window-level metric,Recall / sensitivity,yes,Directly computable,TP and FN,none for window-level fall windows,Measures the fraction of fall windows detected as fall.,Use to quantify fall-detection degradation under FGSM and PGD.,Report now,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
5,Current window-level metric,Missed fall rate,yes,Directly computable as a window-level proxy,FN and total fall windows,event IDs would be needed for event-level missed fall rate,Represents the fraction of fall windows misclassified as non-fall.,Use as the main safety-proxy metric for fall-miss risk under attack.,Report now as window-level proxy,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
6,Current window-level metric,Specificity,yes,Directly computable,TN and FP,none for window-level non-fall windows,Measures how well non-fall windows are correctly rejected.,"Use to interpret non-fall stability under clean, attacked, and defended conditions.",Report now,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
7,Current window-level metric,False positive rate,yes,Directly computable,FP and TN,recording duration would be needed for false alarms per hour/day,Measures the rate at which non-fall windows are incorrectly flagged as fall.,Use as a window-level false-alert burden proxy.,Report now as window-level proxy,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
8,Current window-level metric,Precision / positive predictive value,yes,Directly computable,TP and FP,none for window-level predicted fall alerts,Shows how trustworthy predicted fall alerts are at the window level.,Use to explain false-alert burden and alert trustworthiness.,Report now,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
9,Current window-level metric,F1-score,yes,Directly computable,precision and recall,none for window-level binary classification,Balances fall-window detection and predicted-alert reliability.,Use as a compact safety-proxy summary metric.,Report now,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
10,Current window-level metric,Balanced accuracy,yes,Directly computable,sensitivity and specificity,none for window-level binary classification,Useful when fall and non-fall windows are imbalanced.,Use alongside accuracy to avoid hiding poor fall recall behind many non-fall windows.,Report now,"Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
11,Current window-level metric,False fall alarm count,yes,Directly computable as FP count,FP false fall alarm windows,recording duration would be needed for false alarms per hour/day,Shows the number of non-fall windows incorrectly flagged as fall.,Use as a simple window-level false alarm burden indicator.,"Report now as count, not rate per time","Research implementation only; window-level safety-proxy evaluation; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
